x,y,z,anatomy
0.1410363,0.1096927,-0.220049,Body
0.1355756,0.09190993,-0.2152765,Body
0.1405279,0.09100743,-0.211925,Body
0.1460317,0.1024761,-0.2146587,Body
0.2001,-0.09895398,-0.1995523,Body
0.1782345,-0.1052717,-0.1756569,Body
0.1743692,-0.1125733,-0.1817969,Body
0.2027411,-0.09301753,-0.1936757,Body
0.16136,-0.1153349,-0.1595255,Body
0.1557997,-0.1246292,-0.1659372,Body
0.1678982,-0.1121077,-0.1892496,Body
0.1962277,-0.09669842,-0.2064154,Body
0.1462615,-0.1269164,-0.1739947,Body
0.2263919,-0.08183011,-0.2243527,Body
0.2295336,-0.08469941,-0.2179871,Body
0.2317677,-0.07949629,-0.2123907,Body
0.1738837,0.08009174,-0.2083757,Body
0.1831543,0.1122055,-0.2233763,Body
0.1648687,0.1013886,-0.2140635,Body
0.1948605,0.09066295,-0.2192957,Body
0.2190608,0.1000516,-0.2325893,Body
0.2059149,0.1209885,-0.2356142,Body
0.1511357,0.08891281,-0.208102,Body
0.1565723,0.06965479,-0.2004576,Body
0.1410025,0.07876831,-0.2058031,Body
0.1431759,0.06145483,-0.1966367,Body
0.1625655,0.04535399,-0.1918044,Body
0.1830457,0.05430767,-0.202445,Body
0.1464496,0.03962587,-0.1861607,Body
0.2066458,0.06495529,-0.2153751,Body
0.2323804,0.07515434,-0.2299065,Body
0.4660527,0.1338356,-0.4051468,Right pectoral fin
0.4563408,0.1104467,-0.3884225,Right pectoral fin
0.4543752,0.1071885,-0.3909351,Right pectoral fin
0.4680575,0.1368196,-0.4030168,Right pectoral fin
0.4692972,0.1434974,-0.4016308,Right pectoral fin
0.4573062,0.1176745,-0.3865497,Right pectoral fin
0.4426629,0.09073081,-0.3694572,Right pectoral fin
0.4421616,0.08338181,-0.3719412,Right pectoral fin
0.4404443,0.08026572,-0.3749748,Right pectoral fin
0.4517503,0.1081538,-0.393748,Right pectoral fin
0.4633734,0.1341566,-0.4073845,Right pectoral fin
0.4378065,0.0815689,-0.378166,Right pectoral fin
0.434544,0.08747771,-0.3811226,Right pectoral fin
0.4488068,0.1135967,-0.396522,Right pectoral fin
0.4606645,0.138762,-0.4097911,Right pectoral fin
0.472397,0.1578211,-0.4184264,Right pectoral fin
0.4752114,0.1587081,-0.4171032,Right pectoral fin
0.4697506,0.1607584,-0.4200417,Right pectoral fin
0.4752319,0.1758411,-0.4261157,Right pectoral fin
0.4788191,0.1788802,-0.4271741,Right pectoral fin
0.4819318,0.1812289,-0.4267437,Right pectoral fin
0.4767461,0.1604214,-0.4149416,Right pectoral fin
0.482945,0.1813709,-0.42425,Right pectoral fin
0.4821702,0.1799467,-0.4210375,Right pectoral fin
0.4777679,0.1654358,-0.4136017,Right pectoral fin
0.4689257,0.1673199,-0.4022455,Right pectoral fin
0.4780457,0.202602,-0.4177698,Right pectoral fin
0.4667504,0.1809023,-0.4027368,Right pectoral fin
0.4794953,0.1896588,-0.4166913,Right pectoral fin
0.4864458,0.2065628,-0.4279859,Right pectoral fin
0.485627,0.2193013,-0.4296781,Right pectoral fin
0.4524565,0.1566859,-0.3855005,Right pectoral fin
0.4552891,0.142035,-0.3854147,Right pectoral fin
0.4358793,0.1324368,-0.3669824,Right pectoral fin
0.4393263,0.1164134,-0.3671461,Right pectoral fin
0.4569306,0.1286175,-0.3856558,Right pectoral fin
0.4696806,0.1542579,-0.4016253,Right pectoral fin
0.4416526,0.1021264,-0.3679149,Right pectoral fin
0.4790435,0.1762258,-0.4147435,Right pectoral fin
0.4849154,0.1921818,-0.4246525,Right pectoral fin
0.160854,0.07196446,-0.2372953,Body
0.1719483,0.1071912,-0.2462677,Body
0.181368,0.08419677,-0.2477167,Body
0.1540779,0.09508824,-0.237621,Body
0.1946691,0.1169901,-0.2573227,Body
0.205364,0.09494118,-0.2598111,Body
0.1916231,0.05743667,-0.247822,Body
0.1680564,0.0448409,-0.2353999,Body
0.2169845,0.06921099,-0.261232,Body
0.1466116,0.03412789,-0.2238593,Body
0.1443392,0.0600878,-0.228086,Body
0.1315753,0.02876247,-0.2132062,Body
0.1330741,0.0522531,-0.2194451,Body
0.1414511,0.08143505,-0.2307766,Body
0.1334358,0.07152328,-0.2246076,Body
0.4565126,0.1616462,-0.4147575,Right pectoral fin
0.4662791,0.1971959,-0.4280587,Right pectoral fin
0.4679986,0.1837729,-0.426199,Right pectoral fin
0.4539129,0.1756886,-0.4162427,Right pectoral fin
0.4762514,0.214587,-0.4366156,Right pectoral fin
0.4772205,0.201452,-0.4343877,Right pectoral fin
0.4687201,0.170518,-0.4230796,Right pectoral fin
0.4585704,0.1486313,-0.4124278,Right pectoral fin
0.4766406,0.1873552,-0.4304031,Right pectoral fin
0.4458857,0.1237714,-0.3989178,Right pectoral fin
0.4427969,0.1371241,-0.4008037,Right pectoral fin
0.4309521,0.0981785,-0.3834526,Right pectoral fin
0.4270336,0.1122994,-0.3851867,Right pectoral fin
0.4393509,0.1521009,-0.4020481,Right pectoral fin
0.4227913,0.1284686,-0.3863557,Right pectoral fin
0.2609618,0.1085793,-0.2896686,Right pectoral fin
0.2438132,0.07745965,-0.2757365,Right pectoral fin
0.2323248,0.1023541,-0.2740394,Body
0.2713157,0.0844859,-0.2909986,Right pectoral fin
0.2218473,0.1237315,-0.271392,Body
0.2516899,0.129362,-0.2874243,Right pectoral fin
0.2824041,0.1358288,-0.3043686,Right pectoral fin
0.2899862,0.1157607,-0.3059658,Right pectoral fin
0.3122035,0.143569,-0.3216402,Right pectoral fin
0.3181129,0.1243838,-0.3225964,Right pectoral fin
0.2986985,0.092593,-0.3066817,Right pectoral fin
0.3251696,0.1023143,-0.322711,Right pectoral fin
0.1289597,0.0553875,-0.203172,Body
0.1335162,0.07494511,-0.207478,Body
0.1294057,0.07353872,-0.2119361,Body
0.1339435,0.05759464,-0.198008,Body
0.1293998,0.07064464,-0.2179866,Body
0.1283087,0.05214666,-0.2107291,Body
0.1272341,0.03220945,-0.2034466,Body
0.1299144,0.03774742,-0.1949838,Body
0.1261281,0.02106008,-0.1988316,Body
0.1319817,0.02761754,-0.1892894,Body
0.1359428,0.03865495,-0.1882211,Body
0.139329,0.02596479,-0.1802936,Body
0.4883018,0.2173244,-0.4388768,Right pectoral fin
0.4871926,0.1997863,-0.4309949,Right pectoral fin
0.4862937,0.2008208,-0.4340076,Right pectoral fin
0.4892251,0.2155431,-0.4353628,Right pectoral fin
0.4826374,0.1970667,-0.433928,Right pectoral fin
0.4841443,0.2126316,-0.4385827,Right pectoral fin
0.4836317,0.2258262,-0.4410325,Right pectoral fin
0.4879606,0.2305803,-0.4413329,Right pectoral fin
0.4887788,0.2285163,-0.4375404,Right pectoral fin
0.05711544,0.0582207,-0.2370773,Body
0.02839871,0.1008687,-0.2529509,Body
0.05574282,0.09503285,-0.2465062,Body
0.02903623,0.0625762,-0.2433616,Body
9.605111E-05,0.06472486,-0.2458258,Body
0.0002408293,0.1035958,-0.2553995,Body
0.0004344594,0.1468404,-0.2646604,Body
0.02771387,0.1438513,-0.2622596,Body
0.05440915,0.1374162,-0.2558693,Body
0.08147746,0.08828273,-0.2369348,Body
0.08348176,0.05364645,-0.2280639,Body
