ID,CodeTourbiere,Ordre,Site,Traitement,DemiParcelle,SousTraitement,Latitude_m.x,Longitude_m.x,Rendement_g_5m2,TotalRamet_nombre_m2,TotalVegetatif_nombre_m2,TotalFloral_nombre_m2,TotalMale_nombre_m2,TotalFemelle_nombre_m2,FemelleFruit_nombre_m2,FemelleAvorte_nombre_m2,SterileFleur_nombre_m2,C_pourc,N_pourc,P_pourc,K_pourc,Ca_pourc,Mg_pourc,S_pourc,B_pourc,Cu_pourc,Zn_pourc,Mn_pourc,Fe_pourc,Al_pourc,Station,Longitude_m.y,Latitude_m.y,t_moy_C,prec_tot_mm
53,NTP,B,3,NA,NA,NA,5704093,487562,NA,468.5510567864,420.1680672269,48.3829895595,0,48.3829895595,40.7435701553,0,0,52.35,1.656,0.0871712253,0.345079117,0.4007316533,0.5555092574,0.08711,0.0030820253,3.389521e-4,0.0062364995,0.0107775262,0.0155510213,0.002018045,A,490640,5702453,13.8,687
54,NTP,B,4,NA,NA,NA,5704096,487553,NA,478.7369493252,429.0807231984,49.6562261268,0,49.6562261268,45.8365164248,0,0,51.56,1.672,0.0869492867,0.4559794359,0.4602086395,0.5076626673,0.08752,0.0030820253,3.079078e-4,0.0072979044,0.0120085271,0.0258924795,0.0020672805,B,484870,5701870,18.2,714
55,NTP,B,5,NA,NA,NA,5704086,487554,NA,506.748153807,485.103132162,21.645021645,0,21.645021645,21.645021645,0,0,51.05,1.882,0.0776292521,0.4191285679,0.6127845096,0.5436629688,0.1188,0.0030820253,2.639781e-4,0.008538189,0.0123081393,0.0168843387,0.0026543493,B,484870,5701870,18.2,714
56,SSP,F,1,NA,NA,NA,5699788,484475,NA,48.3829895595,31.8309141839,16.5520753756,7.6394194041,8.9126559715,8.9126559715,0,0,47.57,1.67,0.1261465251,0.6551949246,0.356937003,0.5094347375,0.07279,0.0024871044,7.411705e-4,0.0064363715,0.1044499177,0.0112456801,0.003347057,B,484870,5701870,18.2,714
57,SSP,F,2,NA,NA,NA,5699785,484475,NA,73.8477209065,29.2844410491,44.5632798574,24.1914947797,20.3717850777,16.5520753756,2.5464731347,0,47.73,1.657,0.1280693715,0.6590328952,0.4095193236,0.5203952508,0.0865,0.0024871044,2.794777e-4,0.0056486844,0.1004573573,0.0113706514,0.0038565821,B,484870,5701870,18.2,714
58,SSP,F,3,NA,NA,NA,5699784,484466,NA,67.4815380698,44.5632798574,22.9182582124,5.0929462694,17.825311943,12.7323656735,1.2732365674,0,49.66,1.976,0.1307720382,0.6862592563,0.3385828868,0.4679557691,0.1116,0.0024871044,2.507194e-4,0.0054579386,0.0749136882,0.0107382633,0.003171678,B,484870,5701870,18.2,714
59,SSP,F,4,NA,NA,NA,5699796,484454,NA,66.2083015024,47.1097529921,19.0985485103,0,19.0985485103,16.5520753756,2.5464731347,0,49.32,1.989,0.1362861299,0.7342204822,0.3766969915,0.4183091024,0.1151,0.0024871044,3.503125e-4,0.0057823526,0.0438549809,0.0112273786,0.0030863066,B,484870,5701870,18.2,714
60,SSP,F,5,NA,NA,NA,5699807,484451,NA,77.6674306086,52.2026992615,25.4647313471,17.825311943,7.6394194041,7.6394194041,0,0,49.11,1.848,0.1297298248,0.7665629306,0.3277728109,0.4571273558,0.1009,0.0024871044,2.925442e-4,0.0065964544,0.0561195862,0.0110723494,0.0035341714,B,484870,5701870,18.2,714
61,BS2,G,1,NA,NA,NA,5702188,486575,NA,168.0672268908,148.9686783804,19.0985485103,11.4591291062,7.6394194041,6.3661828368,0,0,53.34,2.62,0.1080636441,0.6319170966,0.4054281159,0.4580617682,0.1794,0.0020451986,3.7e-5,0.0067284844,0.0140836039,0.012134356,0.0024805136,B,484870,5701870,18.2,714
62,BS2,G,2,NA,NA,NA,5702189,486564,NA,155.3348612172,146.4222052457,8.9126559715,0,8.9126559715,7.6394194041,0,0,53.22,2.435,0.091078718,1.0705683451,0.4048745952,0.4639626858,0.2007,0.0020451986,3.7e-5,0.0064038776,0.0329138865,0.0166347299,0.002137434,B,484870,5701870,18.2,714
63,BS2,G,3,NA,NA,NA,5702197,486545,NA,189.7122485358,166.7939903234,22.9182582124,0,22.9182582124,20.3717850777,0,0,52.18,1.775,0.1176345441,1.5407682978,0.4267284578,0.3648335975,0.1879,0.0020451986,3.7e-5,0.004420596,0.0406822538,0.0134186648,0.0021141881,B,484870,5701870,18.2,714
64,BS2,G,4,NA,NA,NA,5702199,486530,NA,198.6249045073,161.701044054,36.9238604533,26.7379679144,10.1858925388,7.6394194041,2.5464731347,0,51.86,1.889,0.1269219417,1.2811678597,0.4549302484,0.4892317822,0.1549,0.0020451986,3.7e-5,0.0055461051,0.008226269,0.0131023059,0.0033423343,B,484870,5701870,18.2,714
65,BS2,G,5,NA,NA,NA,5702203,486510,NA,212.6305067482,164.2475171887,48.3829895595,35.6506238859,12.7323656735,11.4591291062,1.2732365674,0,51.73,1.683,0.0720981405,1.085134821,0.2738966204,0.4050778713,0.2246,0.0020451986,3.7e-5,0.0065835741,0.0464957624,0.0129451615,0.0027191782,B,484870,5701870,18.2,714
66,1,1,1,fertilisant,left,B,5702078,486544,63.9896252632,484.4,349.6,134.8,82.8,52,46,6,0,51.78,2.627,0.1863188972,0.9877968277,0.3636681768,0.4040572744,0.1385,0.0035030881,3.7e-5,0.0054923702,0.0088768591,0.0108734837,0.0013823564,B,484870,5701870,18.2,714
67,1,1,1,fertilisant,right,Control,5702078,486544,72.4351831579,392.8,266.4,126.4,66.4,60,47.6,12.4,0,51.19,2.215,0.1754287564,0.8709756687,0.3303698811,0.4436251626,0.1005,0.0035030881,3.7e-5,0.005567343,0.0134760809,0.0145640585,0.0019186329,B,484870,5701870,18.2,714
68,1,1,2,temoin,left,Control,5702099,486528,6.418,213.2,NA,NA,NA,NA,NA,NA,NA,51.6,2.36,0.1676519972,0.863275109,0.294197812,0.56491199,0.1267,0.0035030881,3.7e-5,0.0055356788,0.0081031988,0.0104481086,0.0015731981,B,484870,5701870,18.2,714
69,1,1,2,temoin,right,Cu,5702099,486528,8.6962526316,200,NA,NA,NA,NA,NA,NA,NA,51.81,2.095,0.1545445243,0.4850660678,0.3237791157,0.6329806121,0.09878,0.0035030881,3.7e-5,0.0067053832,0.0095450624,0.0194358129,0.0030959867,B,484870,5701870,18.2,714
70,1,2,3,fertilisant,left,Control,5702120,486488,55.5831915789,328,255.6,72.4,15.6,56.8,46.4,10.4,0,52,2.469,0.1597495586,1.0111270436,0.3813510034,0.407755463,0.1134,0.0035030881,3.7e-5,0.0036990506,0.0090810637,0.009919468,0.0010497082,B,484870,5701870,18.2,714
71,1,2,3,fertilisant,right,Cu,5702120,486488,48.9545726316,272,229.6,42.4,5.2,37.2,33.2,4,0,52.06,2.648,0.1688704758,0.8922459849,0.3785976703,0.4938137981,0.1467,0.0035030881,3.7e-5,0.0054405807,0.0022982672,0.015774417,0.0014612444,B,484870,5701870,18.2,714
