station_id,station_name,prov,lat,lon,degree_days,cumul_precip,sdi
30578,OTTAWA CDA RCS,ON,45.38,-75.72,878.6,85,0.7717781084438203
30722,LATERRIERE,QC,48.31,-71.13,462.6,NA,NA
31029,MAPLE PLAINS,PE,46.3,-63.58,284,66,0.5933789751433334
32413,FORET MONTMORENCY RCS,QC,47.32,-71.15,314.2,139.6,0.7982990095539991
41575,TRACADIE,NS,45.61,-61.68,491,129.4,0.8691857119881942
41738,MOOSE CREEK WELLS,ON,45.25,-74.96,838.8,91.2,0.7302797552994362
41903,ST. PETERS,PE,46.45,-62.58,438.2,131.2,0.8967550177923028
42013,GRANBY,QC,45.37,-72.77,505,NA,NA
42083,NAPPAN AUTO,NS,45.76,-64.24,576.8,130.8,0.9448731499573796
42103,CHARLO AUTO,NB,47.99,-66.33,456.4,130,0.8086436451654984
42243,DEBERT,NS,45.42,-63.47,568.6,187.8,0.8137760767397053
4243,CHALK RIVER AECL,ON,46.05,-77.37,309,30.8,0.4519268352904944
4255,CORNWALL,ON,45.02,-74.75,297.2,32.4,0.44433270072919845
4268,DRUMMOND CENTRE,ON,45.03,-76.25,459.2,32.4,0.5291007919854822
42967,ALGONQUIN PARK EAST GATE,ON,45.53,-78.27,693.6,112.8,0.6206603440341697
43183,PARRSBORO,NS,45.41,-64.35,536.4,187.2,0.8697656996314795
43184,MONT STE-ANNE,QC,47.07,-70.91,NA,0,NA
43323,EDMUNDSTON,NB,47.42,-68.32,483.2,117.2,0.836917270353437
4333,OTTAWA CDA,ON,45.38,-75.72,469.1,42.8,0.532388672189882
43383,ST. STEPHEN,NB,45.21,-67.25,691.6,125.2,0.7380972235681738
4377,ST. ALBERT,ON,45.29,-75.06,446.6,58.4,0.5756099978911975
44183,BEATRICE CLIMATE,ON,45.14,-79.4,692.1999999999999,53.4,0.5819177723703
44303,SPRUCEDALE,ON,45.43,-79.49,NA,68.6,0.5751969897857218
44363,UPPER STEWIACKE RCS,NS,45.23,-63.06,466.4,160.4,0.8197002172946538
44503,SYDNEY CS,NS,46.16,-60.04,328.4,148,0.9163533833702792
45090,MECHANIC SETTLEMENT,NB,45.69,-65.17,525.6,180.6,0.8689730112125678
45309,THETFORD MINES RCS,QC,46.05,-71.27,651,93.8,0.8054770320198231
45547,NIPISSING,ON,46.1,-79.52,NA,64,0.4604458875196467
47527,PETAWAWA AWOS 2,ON,45.95,-77.32,527.8,157,0.7435040833878833
47587,SAINT-GERMAIN-DE-GRANTHAM,QC,45.83,-72.54,795.8,95,0.7110438032506922
47687,EARLTON CLIMATE,ON,47.7,-79.85,660.6,201.6,0.7660545674901428
48188,SAINT-MICHEL-DES-SAINTS,QC,46.82,-74.09,548.4,133.4,0.6886597172608594
48371,SHERBROOKE,QC,45.44,-71.69,594.2,64.4,0.6346106268586905
48374,MONTREAL/ST-HUBERT,QC,45.52,-73.42,615.1999999999999,107.8,0.7877377827902107
48568,FREDERICTON INTL A,NB,45.87,-66.54,461.6,109.8,0.6654950219102845
48668,PORT HAWKESBURY,NS,45.66,-61.37,374,173,0.8797968702797883
48768,RED PINES,NB,47.44,-65.6,505.4,91.4,0.7479028469165183
48968,BAIE-COMEAU,QC,49.13,-68.2,220.20000000000002,116.4,0.7228815922288289
49068,PEMBROKE CLIMATE,ON,45.86,-77.25,760,93.2,0.7678366487256545
49390,VAL D'OR A,QC,48.05,-77.78,540.6,133,0.744725704406731
49489,EARLTON A,ON,47.7,-79.85,430.2,144.2,0.6174978006308497
49491,MATAGAMI A,QC,49.76,-77.8,224.79999999999998,52.6,0.4994549013736542
49568,OTTAWA INTL A,ON,45.32,-75.67,880.8,101.6,0.7921407321737591
49748,ESKASONI FIRST NATION AUTOMATIC WEATHER STATION,NS,45.92,-60.65,486.8,181,0.9112440187471332
49868,OAK POINT,NB,45.51,-66.1,312.3,75.3,0.6192785738250896
50309,MONCTON INTL A,NB,46.11,-64.68,594.4,165,0.9067893764143132
50310,SAINT JOHN A,NB,45.32,-65.89,529.6,129.6,0.8594367708277783
50621,CHARLOTTETOWN A,PE,46.29,-63.12,487.4,123.4,0.8720602991792972
50841,MONT JOLI A,QC,48.61,-68.21,419.6,120.4,0.8737615950944715
51139,ILES DE LA MADELEINE A,QC,47.43,-61.78,NA,NA,NA
51157,MONTREAL INTL A,QC,45.47,-73.74,902.4,97.2,0.7890997467213539
51297,GASPE A,QC,48.78,-64.48,279.8,92.8,0.8766619934224568
51418,BATHURST A,NB,47.63,-65.74,524,105.6,0.7644359559444279
51537,DOAKTOWN AUTO RCS,NB,46.59,-66.01,552.2,126,0.8100737205782572
51638,LAC MEGANTIC,QC,45.6,-70.88,438,NA,NA
5170,HALIBURTON 3,ON,45.03,-78.53,414.2,53.6,0.5488889245174863
5203,LAC AUX SABLES,QC,46.87,-72.4,NA,75.9,0.5743990688425992
52080,ROBERVAL A,QC,48.52,-72.27,487.4,73.2,0.8083205570965788
5217,COTEAU DU LAC,QC,45.32,-74.17,NA,45.6,0.5660756538692381
5220,DESCHAMBAULT,QC,46.67,-71.92,NA,44.5,0.393677672052767
5225,HEROUXVILLE,QC,46.67,-72.6,NA,95.3,0.48877572984025786
52318,NORTH BAY A,ON,46.36,-79.42,741.8,141.2,0.6786006298976037
5237,L'ASSOMPTION,QC,45.81,-73.43,800,102.6,0.9889460125003877
5239,LES CEDRES,QC,45.3,-74.05,NA,40.8,0.5188993422184621
5243,LOUISEVILLE,QC,46.27,-73.02,NA,27.799999999999997,0.3829402788361317
5248,OKA,QC,45.5,-74.07,NA,49.4,0.44827040736484974
52518,SYDNEY A,NS,46.16,-60.05,352.6,138.4,0.9363272135194911
5252,RIGAUD,QC,45.5,-74.37,NA,48,0.5117581232150694
